C:\Users\Administrator\AppData\Local\Temp\.opera | 0 bytes | falha: [Errno 13] Permission denied: 'C:\\Users\\Administrator\\AppData\\Local\\Temp\\.opera'
C:\Users\Administrator\AppData\Local\Temp\169e903e-ed2b-4598-9837-c9587d82b900.tmp | 0 bytes | falha: [Errno 13] Permission denied: 'C:\\Users\\Administrator\\AppData\\Local\\Temp\\169e903e-ed2b-4598-9837-c9587d82b900.tmp'
C:\Users\Administrator\AppData\Local\Temp\1be516e5-9cbd-4193-9609-cb6ad7dcfbde.tmp | 0 bytes | falha: [Errno 13] Permission denied: 'C:\\Users\\Administrator\\AppData\\Local\\Temp\\1be516e5-9cbd-4193-9609-cb6ad7dcfbde.tmp'
C:\Users\Administrator\AppData\Local\Temp\1f5e635b-dbd5-4ff9-9879-978cbd18f280.tmp | 915088 bytes | falha: 'charmap' codec can't decode byte 0x9d in position 23: character maps to <undefined>
C:\Users\Administrator\AppData\Local\Temp\20f476e5-17d9-4758-9913-98de97a920f9.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\21968adc-3cc1-4abb-9038-95a462fc5138.tmp | 93397 bytes | falha: 'charmap' codec can't decode byte 0x81 in position 243: character maps to <undefined>
C:\Users\Administrator\AppData\Local\Temp\2796d58e-23a8-465b-863a-2e5090185e34.tmp | 0 bytes | falha: [Errno 13] Permission denied: 'C:\\Users\\Administrator\\AppData\\Local\\Temp\\2796d58e-23a8-465b-863a-2e5090185e34.tmp'
C:\Users\Administrator\AppData\Local\Temp\29cd0717-2c90-4cc6-863e-f667601a2e65.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\2bd595cf-7cd6-4593-9aac-d98d288bdc1c.tmp | 191505 bytes | falha: [Errno 13] Permission denied: 'C:\\Users\\Administrator\\AppData\\Local\\Temp\\2bd595cf-7cd6-4593-9aac-d98d288bdc1c.tmp'
C:\Users\Administrator\AppData\Local\Temp\30643f9e-010a-4e65-bb7b-832971ceb9c5_Phoenix Wright Ace Attorney Trilogy.rar.9c5 | 0 bytes | falha: [Errno 13] Permission denied: 'C:\\Users\\Administrator\\AppData\\Local\\Temp\\30643f9e-010a-4e65-bb7b-832971ceb9c5_Phoenix Wright Ace Attorney Trilogy.rar.9c5'
C:\Users\Administrator\AppData\Local\Temp\3abfb5ed-4016-4f37-a409-82693893b463.tmp | 13002 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\46a51997-32da-414d-95fc-7a619a7ea537.tmp | 13002 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\481b916b-4df3-4637-8c71-478b6cb11ea4.tmp | 2194734 bytes | falha: [Errno 13] Permission denied: 'C:\\Users\\Administrator\\AppData\\Local\\Temp\\481b916b-4df3-4637-8c71-478b6cb11ea4.tmp'
C:\Users\Administrator\AppData\Local\Temp\4c7d3c9b-dd77-4300-8875-52b86af1015e.tmp | 1913224 bytes | falha: [Errno 13] Permission denied: 'C:\\Users\\Administrator\\AppData\\Local\\Temp\\4c7d3c9b-dd77-4300-8875-52b86af1015e.tmp'
C:\Users\Administrator\AppData\Local\Temp\4e2af350-e833-4802-8121-a6e46b467417.tmp | 544787 bytes | falha: 'charmap' codec can't decode byte 0x90 in position 63: character maps to <undefined>
C:\Users\Administrator\AppData\Local\Temp\4fabff95-d31e-4fa7-92cd-329d8d4ee5ae.tmp | 0 bytes | falha: [Errno 13] Permission denied: 'C:\\Users\\Administrator\\AppData\\Local\\Temp\\4fabff95-d31e-4fa7-92cd-329d8d4ee5ae.tmp'
C:\Users\Administrator\AppData\Local\Temp\5d70ccb9-ebb7-4e02-b1a9-a859400b7810.tmp | 1232 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\6358C710-B89F-46B9-93F2-F6CAC44F5286 | 1128 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\66457887-d0d0-4b1e-b850-a695810e56ea.tmp | 110383 bytes | falha: 'charmap' codec can't decode byte 0x8d in position 187: character maps to <undefined>
C:\Users\Administrator\AppData\Local\Temp\6a584728-af1e-4d96-8602-41cfa454a4bf.tmp | 2735455 bytes | falha: 'charmap' codec can't decode byte 0x9d in position 23: character maps to <undefined>
C:\Users\Administrator\AppData\Local\Temp\6dde2a37-a98d-4669-82c5-ab2f4ebcd676.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\7508cded-427a-40df-959a-382ed698329a.tmp | 0 bytes | falha: [Errno 13] Permission denied: 'C:\\Users\\Administrator\\AppData\\Local\\Temp\\7508cded-427a-40df-959a-382ed698329a.tmp'
C:\Users\Administrator\AppData\Local\Temp\78d8c3e3-5baf-4f64-bd64-063882efa284.tmp | 13002 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\7b818617-c1f8-4b25-8851-0fded6854ddb.tmp | 3252158 bytes | falha: [Errno 13] Permission denied: 'C:\\Users\\Administrator\\AppData\\Local\\Temp\\7b818617-c1f8-4b25-8851-0fded6854ddb.tmp'
C:\Users\Administrator\AppData\Local\Temp\861ec2b5-d12f-4267-9b3a-50c25e8384c3.tmp | 110522 bytes | falha: 'charmap' codec can't decode byte 0x8f in position 235: character maps to <undefined>
C:\Users\Administrator\AppData\Local\Temp\8685E9F9-C4F3-11F0-BFFE-FD7798C13567 | 0 bytes | falha: [Errno 13] Permission denied: 'C:\\Users\\Administrator\\AppData\\Local\\Temp\\8685E9F9-C4F3-11F0-BFFE-FD7798C13567'
C:\Users\Administrator\AppData\Local\Temp\870649f3-f44d-4557-bcb5-2f49bd2437df.tmp | 13002 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\883d1160-1e6c-4d19-bb9f-518ad9f88fbf.tmp | 1731682 bytes | falha: [Errno 13] Permission denied: 'C:\\Users\\Administrator\\AppData\\Local\\Temp\\883d1160-1e6c-4d19-bb9f-518ad9f88fbf.tmp'
C:\Users\Administrator\AppData\Local\Temp\8b60f25d-6665-4166-b240-49c5ac94d235.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\8b7cec2e-e6e3-433b-ba70-fed3ce6e3fe2.tmp | 13002 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\97a693f8-2b36-43d7-bdf7-dd32c4ba5b67.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\9b586bf1-f786-40bb-9492-9d2ff12b6e27.tmp | 110209 bytes | falha: 'charmap' codec can't decode byte 0x8f in position 151: character maps to <undefined>
C:\Users\Administrator\AppData\Local\Temp\9c9ba2ab-b73f-42d6-bb3b-7e9a8658432f.tmp | 110369 bytes | falha: 'charmap' codec can't decode byte 0x90 in position 212: character maps to <undefined>
